Yachtski Score,Artist,Title
63.25,Mary-Lu Zahalan,Daytime Nighttime
63.25,Ole Børud (Borud),Talk To My Lawyer
63.25,Pete Carlson,Run Inside
63.25,Young Gun Silver Fox,Kids
63.0,Boz Scaggs,A Clue
63.0,DeBarge,Stay With Me
63.0,Jimmy Messina,Money Alone
63.0,Kenny Loggins with Patti Austin,I've Got the Melody (Deep in my Heart)
63.0,Randy Crawford,We Had A Love So Strong
63.0,Steve Kipner,Knock the Walls Down
63.0,The Imperials,Stand By The Power
62.75,Aretha Franklin,What A Fool Believes
62.75,David Pack,My Baby
62.75,Jesse Colin Young,Fire On The Water
62.75,Lava Feat. Randy Crawford,You
62.75,Michael Sembello,Lay Back
62.75,Pointer Sisters,American Music
62.5,Al Jarreau,Wait A Little While
62.5,Billy Ocean,Whatever Turns You On
62.5,Bobby Caldwell,Sunny Hills
62.5,Bruce Hibbard,Never Turnin' Back
62.5,"Chunky, Novi & Ernie",Didn't Wanna Hurt Cha for Another Guy
62.5,Dane Donohue,Freedom
62.5,Dave Loggins,If I Had My Wish Tonight
62.5,Dayton,It Must Be Love
